dataset,kind,batch,repeat,n_keys,events,max_abs_error,discrete_mismatches,process_rss_mb,incremental_elapsed_ms,incremental_write_lookup_ms,incremental_refresh_ms,incremental_refreshed,incremental_affected,full_elapsed_ms,full_write_lookup_ms,full_refresh_ms,full_refreshed,full_affected
ICEWS14,delete,1000,5,21667,76826,1.1102230246251565e-16,0,169.8046875,9.4501,3.0186,6.4315,853,853,131.0898,2.8553,128.2345,21667,853
ICEWS14,delete,1000,6,21667,75826,1.1102230246251565e-16,0,169.5390625,8.4401,2.4671,5.973,850,850,131.7611,3.8864,127.8747,21667,850
ICEWS14,delete,1000,7,21667,74826,1.1102230246251565e-16,0,169.81640625,10.3606,3.0591,7.3015,851,851,128.5519,3.3265,125.2254,21667,851
ICEWS14,delete,1000,8,21667,73826,1.1102230246251565e-16,0,169.5703125,9.2853,2.654,6.6313,849,849,126.7643,3.226,123.5383,21667,849
ICEWS14,delete,1000,9,21667,72826,1.1102230246251565e-16,0,169.8125,10.259,3.3911,6.8679,870,870,173.032,2.7576,170.2744,21667,870
ICEWS14,counter,1,0,21667,72827,1.1102230246251565e-16,0,169.5,0.1075,0.0139,0.0936,1,1,122.2162,0.0064,122.2098,21667,1
ICEWS14,counter,1,1,21667,72828,1.1102230246251565e-16,0,169.5625,0.1684,0.0252,0.1432,1,1,133.121,0.0192,133.1018,21667,1
ICEWS14,counter,1,2,21667,72829,1.1102230246251565e-16,0,169.578125,0.1059,0.0144,0.0915,1,1,131.1059,0.0066,131.0993,21667,1
ICEWS14,counter,1,3,21667,72830,1.1102230246251565e-16,0,169.578125,0.1567,0.0243,0.1324,1,1,128.7764,0.0173,128.7591,21667,1
ICEWS14,counter,1,4,21667,72831,1.1102230246251565e-16,0,169.578125,0.1068,0.0151,0.0917,1,1,176.6378,0.0063,176.6315,21667,1
ICEWS14,counter,1,5,21667,72832,1.1102230246251565e-16,0,169.578125,0.1554,0.0235,0.1319,1,1,123.1853,0.0218,123.1635,21667,1
ICEWS14,counter,1,6,21667,72833,1.1102230246251565e-16,0,169.578125,0.1031,0.0148,0.0883,1,1,122.8069,0.0061,122.8008,21667,1
ICEWS14,counter,1,7,21667,72834,1.1102230246251565e-16,0,169.578125,0.1339,0.0196,0.1143,1,1,121.706,0.0157,121.6903,21667,1
ICEWS14,counter,1,8,21667,72835,1.1102230246251565e-16,0,169.578125,0.0933,0.0138,0.0795,1,1,120.8389,0.0064,120.8325,21667,1
ICEWS14,counter,1,9,21667,72836,1.1102230246251565e-16,0,169.578125,0.1343,0.0178,0.1165,1,1,120.9423,0.0179,120.9244,21667,1
ICEWS14,counter,10,0,21667,72846,1.1102230246251565e-16,0,169.43359375,0.187,0.038,0.149,10,10,176.8592,0.0427,176.8165,21667,10
ICEWS14,counter,10,1,21667,72856,1.1102230246251565e-16,0,169.43359375,0.2482,0.0502,0.198,10,10,126.1252,0.0454,126.0798,21667,10
ICEWS14,counter,10,2,21667,72866,1.1102230246251565e-16,0,169.4921875,0.2296,0.0541,0.1755,10,10,121.3776,0.0459,121.3317,21667,10
ICEWS14,counter,10,3,21667,72876,1.1102230246251565e-16,0,169.53515625,0.245,0.0553,0.1897,10,10,121.4982,0.0411,121.4571,21667,10
