dataset,kind,batch,repeat,n_keys,events,max_abs_error,discrete_mismatches,process_rss_mb,incremental_elapsed_ms,incremental_write_lookup_ms,incremental_refresh_ms,incremental_refreshed,incremental_affected,full_elapsed_ms,full_write_lookup_ms,full_refresh_ms,full_refreshed,full_affected
ICEWS05-15,counter,10,0,51292,368982,1.1102230246251565e-16,0,417.03515625,0.2336,0.0505,0.1831,10,10,463.6666,0.0323,463.6343,51292,10
ICEWS05-15,counter,10,1,51292,368992,1.1102230246251565e-16,0,417.453125,0.2497,0.061,0.1887,10,10,328.2071,0.2084,327.9987,51292,10
ICEWS05-15,counter,10,2,51292,369002,1.1102230246251565e-16,0,416.74609375,0.1987,0.0428,0.1559,10,10,330.7725,0.0316,330.7409,51292,10
ICEWS05-15,counter,10,3,51292,369012,1.1102230246251565e-16,0,417.0390625,0.2631,0.0552,0.2079,10,10,339.0238,0.0423,338.9815,51292,10
ICEWS05-15,counter,10,4,51292,369022,1.1102230246251565e-16,0,416.9765625,0.2215,0.0423,0.1792,10,10,348.0209,0.0328,347.9881,51292,10
ICEWS05-15,counter,10,5,51292,369032,1.1102230246251565e-16,0,417.46875,0.2583,0.0494,0.2089,10,10,351.3939,0.0446,351.3493,51292,10
ICEWS05-15,counter,10,6,51292,369042,1.1102230246251565e-16,0,416.58984375,0.2404,0.0527,0.1877,10,10,477.6008,0.0391,477.5617,51292,10
ICEWS05-15,counter,10,7,51292,369052,1.1102230246251565e-16,0,416.734375,0.257,0.0481,0.2089,10,10,337.6161,0.0427,337.5734,51292,10
ICEWS05-15,counter,10,8,51292,369062,1.1102230246251565e-16,0,416.83984375,0.2315,0.0485,0.183,10,10,357.9517,0.036,357.9157,51292,10
ICEWS05-15,counter,10,9,51292,369072,1.1102230246251565e-16,0,416.875,0.2646,0.0517,0.2129,10,10,349.3051,0.0466,349.2585,51292,10
ICEWS05-15,counter,100,0,51292,369172,1.1102230246251565e-16,0,417.5625,1.3894,0.3336,1.0558,100,100,354.8572,0.4229,354.4343,51292,100
ICEWS05-15,counter,100,1,51292,369272,1.1102230246251565e-16,0,417.33203125,1.1479,0.329,0.8189,100,100,485.6161,0.2993,485.3168,51292,100
ICEWS05-15,counter,100,2,51292,369372,1.1102230246251565e-16,0,416.21875,1.0597,0.2944,0.7653,100,100,351.2616,0.3556,350.906,51292,100
ICEWS05-15,counter,100,3,51292,369472,1.1102230246251565e-16,0,416.5234375,1.1339,0.3173,0.8166,100,100,354.7138,0.2805,354.4333,51292,100
ICEWS05-15,counter,100,4,51292,369572,1.1102230246251565e-16,0,420.109375,1.1321,0.3425,0.7896,100,100,357.702,0.359,357.343,51292,100
ICEWS05-15,counter,100,5,51292,369672,1.1102230246251565e-16,0,417.0625,1.1115,0.3085,0.803,100,100,340.1495,0.3063,339.8432,51292,100
ICEWS05-15,counter,100,6,51292,369772,1.1102230246251565e-16,0,417.40234375,1.036,0.2897,0.7463,100,100,363.0681,0.3379,362.7302,51292,100
ICEWS05-15,counter,100,7,51292,369872,1.1102230246251565e-16,0,417.10546875,1.0792,0.3068,0.7724,100,100,486.5282,0.3394,486.1888,51292,100
ICEWS05-15,counter,100,8,51292,369972,1.1102230246251565e-16,0,416.81640625,1.5493,0.3682,1.1811,100,100,354.1095,0.4696,353.6399,51292,100
ICEWS05-15,counter,100,9,51292,370072,1.1102230246251565e-16,0,417.33203125,1.2062,0.3274,0.8788,100,100,345.1595,0.2993,344.8602,51292,100
ICEWS05-15,counter,1000,0,51292,371072,1.1102230246251565e-16,0,416.5625,11.0549,3.8169,7.238,1000,1000,344.2989,2.6364,341.6625,51292,1000
ICEWS05-15,counter,1000,1,51292,372072,1.1102230246251565e-16,0,417.28515625,11.0525,2.9077,8.1448,1000,1000,359.3207,2.9303,356.3904,51292,1000
ICEWS05-15,counter,1000,2,51292,373072,1.1102230246251565e-16,0,417.59375,10.4547,2.8592,7.5955,1000,1000,346.3973,3.9206,342.4767,51292,1000
ICEWS05-15,counter,1000,3,51292,374072,1.1102230246251565e-16,0,418.91015625,10.2526,3.1053,7.1473,1000,1000,483.6303,2.5797,481.0506,51292,1000
ICEWS05-15,counter,1000,4,51292,375072,1.1102230246251565e-16,0,420.17578125,9.3661,2.5911,6.775,1000,1000,353.0557,2.4449,350.6108,51292,1000
ICEWS05-15,counter,1000,5,51292,376072,1.1102230246251565e-16,0,420.875,9.9884,2.6179,7.3705,1000,1000,351.0069,2.4992,348.5077,51292,1000
ICEWS05-15,counter,1000,6,51292,377072,1.1102230246251565e-16,0,422.21875,10.0883,2.66,7.4283,1000,1000,355.632,2.6889,352.9431,51292,1000
ICEWS05-15,counter,1000,7,51292,378072,1.1102230246251565e-16,0,422.74609375,9.7896,2.8588,6.9308,1000,1000,358.1892,3.1107,355.0785,51292,1000
ICEWS05-15,counter,1000,8,51292,379072,1.1102230246251565e-16,0,424.8828125,10.1187,2.6447,7.474,1000,1000,510.2391,4.1658,506.0733,51292,1000
ICEWS05-15,counter,1000,9,51292,380072,1.1102230246251565e-16,0,426.265625,11.1989,3.005,8.1939,1000,1000,359.8518,3.4334,356.4184,51292,1000
ICEWS05-15,clock,0,0,51292,380072,0.0,0,427.29296875,356.5977,0.0005,356.5972,51292,0,358.3201,0.0018,358.3183,51292,0
ICEWS05-15,clock,0,1,51292,380072,0.0,0,427.65625,341.3057,0.0012,341.3045,51292,0,345.373,0.0011,345.3719,51292,0
ICEWS05-15,clock,0,2,51292,380072,0.0,0,427.27734375,340.5252,0.0011,340.5241,51292,0,488.3638,0.0011,488.3627,51292,0
ICEWS05-15,clock,0,3,51292,380072,0.0,0,426.9296875,355.9844,0.001,355.9834,51292,0,355.3338,0.0012,355.3326,51292,0
ICEWS05-15,clock,0,4,51292,380072,0.0,0,426.51171875,340.5062,0.0011,340.5051,51292,0,348.3219,0.0009,348.321,51292,0
ICEWS05-15,clock,0,5,51292,380072,0.0,0,430.32421875,494.7754,0.0013,494.7741,51292,0,362.1013,0.0009,362.1004,51292,0
ICEWS05-15,clock,0,6,51292,380072,0.0,0,426.515625,356.3272,0.001,356.3262,51292,0,361.7493,0.0013,361.748,51292,0
ICEWS05-15,clock,0,7,51292,380072,0.0,0,427.72265625,361.1248,0.0016,361.1232,51292,0,363.8538,0.001,363.8528,51292,0
ICEWS05-15,clock,0,8,51292,380072,0.0,0,430.125,354.2793,0.002,354.2773,51292,0,355.9195,0.0023,355.9172,51292,0
ICEWS05-15,clock,0,9,51292,380072,0.0,0,430.32421875,358.9994,0.0021,358.9973,51292,0,495.9961,0.0013,495.9948,51292,0
