dataset,batch,repeat,kind,max_abs_error,full_elapsed_ms,full_write_ms,full_refresh_ms,full_affected,full_refreshed,incremental_elapsed_ms,incremental_write_ms,incremental_refresh_ms,incremental_affected,incremental_refreshed
ICEWS14,1000,0,restore,0.0,1442.4695000052452,101.92040000401904,1340.5491000012262,740,5000,330.4171000054339,65.15900000522379,265.2581000002101,740,740
ICEWS14,1000,1,delete,0.0,1363.0379999958675,74.1513999964809,1288.8865999993868,779,5000,308.44329998944886,72.34479999169707,236.0984999977518,779,779
ICEWS14,1000,1,restore,0.0,1353.3056000014767,117.2828999988269,1236.0227000026498,779,5000,368.4687000059057,114.67190000985283,253.79679999605287,779,779
ICEWS14,1000,2,delete,0.0,1360.6886999914425,56.574399990495294,1304.114300000947,700,5000,449.82350000645965,86.97140000003856,362.8521000064211,700,700
ICEWS14,1000,2,restore,0.0,1292.7110999880824,57.16859998938162,1235.5424999987008,700,5000,305.03020000469405,64.70709999848623,240.32310000620785,700,700
ICEWS14,1000,3,delete,0.0,1269.6315000066534,101.09920000832062,1168.5322999983327,820,5000,396.6518999950495,98.85869998834096,297.7932000067085,820,820
ICEWS14,1000,3,restore,0.0,1391.780200006906,82.17660000082105,1309.603600006085,820,5000,385.3307999961544,114.85040000115988,270.4803999949945,820,820
ICEWS14,1000,4,delete,0.0,1371.7127999989316,75.78999998804647,1295.922800010885,803,5000,328.86760000837967,68.19700000050943,260.67060000787023,803,803
ICEWS14,1000,4,restore,0.0,1398.8261999911629,84.71039999858476,1314.115799992578,803,5000,424.0087000071071,118.787200000952,305.2215000061551,803,803
ICEWS14,1000,5,delete,0.0,1334.1884999972535,92.38649999315383,1241.8020000040997,738,5000,313.6452000035206,58.82170000404585,254.82349999947476,738,738
ICEWS14,1000,5,restore,0.0,1401.9866000016918,74.00219999544788,1327.984400006244,738,5000,281.6391999949701,57.10809999436606,224.53110000060408,738,738
ICEWS14,1000,6,delete,0.0,1344.9275000020862,56.59799999557436,1288.3295000065118,704,5000,284.77539999585133,95.24719999171792,189.5282000041334,704,704
ICEWS14,1000,6,restore,0.0,1279.347500007134,72.61640000797343,1206.7310999991605,704,5000,331.7086999886669,75.77019999735057,255.93849999131635,704,704
ICEWS14,1000,7,delete,0.0,1189.242300009937,58.95410000812262,1130.2882000018144,731,5000,319.6572000015294,63.70199999946635,255.9552000020631,731,731
ICEWS14,1000,7,restore,0.0,1498.1942000013078,97.91260000201872,1400.281599999289,731,5000,253.5644999879878,64.54709998797625,189.01740000001155,731,731
ICEWS14,1000,8,delete,0.0,1414.9605999991763,101.47570000845008,1313.4848999907265,802,5000,372.7786000090418,102.92770000523888,269.85090000380296,802,802
ICEWS14,1000,8,restore,0.0,1478.7738000013633,106.22390000207815,1372.5498999992851,802,5000,352.4935000023106,98.13800000119954,254.35550000111107,802,802
ICEWS14,1000,9,delete,0.0,1590.5012000002898,91.53930000320544,1498.9618999970844,736,5000,329.46360000642017,58.37210000026971,271.09150000615045,736,736
ICEWS14,1000,9,restore,0.0,1775.8292999933474,100.15969999949448,1675.669599993853,736,5000,368.6063000059221,72.31570000294596,296.29060000297613,736,736
ICEWS05-15,1,0,delete,0.0,2691.816700011259,0.0030000082915648,2691.8137000029674,0,5000,0.0096000003395602,0.0065999920479953,0.0030000082915648,0,0
ICEWS05-15,1,0,restore,0.0,2834.089000010863,0.0017000129446387,2834.0872999979183,0,5000,0.0051999959396198,0.0042999890865758,0.000900006853044,0,0
ICEWS05-15,1,1,delete,0.0,3146.1570000101347,0.0037000136217102,3146.153299996513,0,5000,0.0043999898480251,0.003699999069795,0.0006999907782301,0,0
ICEWS05-15,1,1,restore,0.0,3154.714400006924,0.0028999929782003,3154.7115000139456,0,5000,0.004600005922839,0.0039000005926936,0.0007000053301453,0,0
ICEWS05-15,1,2,delete,0.0,2818.415499990806,0.0016999983927235,2818.4137999924133,0,5000,0.0032999960239976,0.0027000060072168,0.0005999900167807,0,0
ICEWS05-15,1,2,restore,0.0,2711.3381999952253,0.0015999976312741,2711.336599997594,0,5000,0.0048000074457377,0.0039000005926936,0.000900006853044,0,0
ICEWS05-15,1,3,delete,0.0,2708.631699992111,0.0042999890865758,2708.6274000030244,0,5000,0.0045999913709238,0.0037999998312443,0.0007999915396794,0,0
ICEWS05-15,1,3,restore,0.0,3052.5150000030408,0.0035000120988115,3052.511499990942,0,5000,0.0058000005083158,0.0048999936552718,0.000900006853044,0,0
