,,,aurc,aurc,mrr,mrr,hits1,hits1,hits3,hits3,hits10,hits10,neural_mrr,neural_mrr,neural_hits1,neural_hits1,neural_hits3,neural_hits3,neural_hits10,neural_hits10,brier,brier,ece,ece,risk20,risk20,worst_flip1_20,worst_flip1_20,random_flip2_20,random_flip2_20,shifted_flip_20,shifted_flip_20,wide_flip_20,wide_flip_20,event_flip_20,event_flip_20,deployed_coverage20,deployed_coverage20,deployed_risk20,deployed_risk20,risk40,risk40,worst_flip1_40,worst_flip1_40,random_flip2_40,random_flip2_40,shifted_flip_40,shifted_flip_40,wide_flip_40,wide_flip_40,event_flip_40,event_flip_40,deployed_coverage40,deployed_coverage40,deployed_risk40,deployed_risk40,certified_coverage,certified_coverage
,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
model,dataset,selector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TeRDy,ICEWS14,Ensemble calibration,0.1848702300337254,0.0012791640609252518,0.6616269879601872,0.001049706570909029,0.5791971524619339,0.0025706940874035966,0.7116867708127348,0.0009061846341617051,0.8137894667457649,0.0012713269739625388,0.6626893397093675,0.0013690322317077108,0.5792630676949443,0.002222624124986781,0.714916617230242,0.0025503318333864326,0.8147781952409202,0.002542653947925118,0.16054687387322233,0.0011194032795253481,0.0212744021987589,0.005036101190711798,0.07466666666666656,0.002516611478423584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12093333333333334,0.00291433239925259,0.04188198026140046,0.0009332007486389471,0.13033333333333327,0.0025658007197234558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37600000000000006,0.003487119154832543,0.12288511104406809,0.0020683627667838667,,
TeRDy,ICEWS14,Evidence calibration,0.19363046554257587,0.00868731562549414,0.6616269879601872,0.001049706570909029,0.5791971524619339,0.0025706940874035966,0.7116867708127348,0.0009061846341617051,0.8137894667457649,0.0012713269739625388,0.6626893397093675,0.0013690322317077108,0.5792630676949443,0.002222624124986781,0.714916617230242,0.0025503318333864326,0.8147781952409202,0.002542653947925118,0.16589898190049707,0.003157868160255722,0.024892252892974465,0.010910571232532223,0.08566666666666656,0.02631222782915451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17726666666666668,0.09348846631180412,0.07584489185797594,0.048491090154640745,0.13349999999999998,0.004272001872658717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38926666666666665,0.011868164699452625,0.12976520290866037,0.004350685132872569,,
TeRDy,ICEWS14,Probability calibration,0.1977479292068379,0.012066576091971547,0.6616269879601872,0.001049706570909029,0.5791971524619339,0.0025706940874035966,0.7116867708127348,0.0009061846341617051,0.8137894667457649,0.0012713269739625388,0.6626893397093675,0.0013690322317077108,0.5792630676949443,0.002222624124986781,0.714916617230242,0.0025503318333864326,0.8147781952409202,0.002542653947925118,0.17051282126521058,0.009190433920547397,0.026220618708664805,0.009424133615174699,0.09533333333333327,0.027465129406819413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10533333333333333,0.017401532499562597,0.05329412218330937,0.008496437134642447,0.15149999999999997,0.023016298572967834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3308,0.06333371929706955,0.13498634200117157,0.014750629901061343,,
TeRDy,ICEWS14,Score calibration,0.18945742506055788,0.001447992689638109,0.6616269879601872,0.001049706570909029,0.5791971524619339,0.0025706940874035966,0.7116867708127348,0.0009061846341617051,0.8137894667457649,0.0012713269739625388,0.6626893397093675,0.0013690322317077108,0.5792630676949443,0.002222624124986781,0.714916617230242,0.0025503318333864326,0.8147781952409202,0.002542653947925118,0.16661920505149844,0.0032734175359070577,0.03535182640003737,0.01579265502435776,0.0716666666666666,0.008386497083606026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1196,0.004651881339845201,0.04336766233507087,0.00429201821556108,0.1336666666666666,0.004536885862938778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35860000000000003,0.022666274506411486,0.12057495804427727,0.007012197909706249,,
TeRDy,ICEWS14,Temperature scaling,0.18692189850436827,0.0023197361896288337,0.6616269879601872,0.001049706570909029,0.5791971524619339,0.0025706940874035966,0.7116867708127348,0.0009061846341617051,0.8137894667457649,0.0012713269739625388,0.6626893397093675,0.0013690322317077108,0.5792630676949443,0.002222624124986781,0.714916617230242,0.0025503318333864326,0.8147781952409202,0.002542653947925118,0.16444825240503957,0.0008770199103660865,0.0334888392399367,0.002378130030685949,0.06833333333333323,0.0028867513459481273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11006666666666666,0.0032331615074619015,0.037503505734244234,0.0026909981502497614,0.1316666666666666,0.005008326400438914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3671333333333333,0.012060403531115087,0.1199802726904197,0.0026356073327786465,,
TeRDy,ICEWS14,candidate_probability,0.18980347186183702,0.0022766526320661755,0.6616269879601872,0.001049706570909029,0.5791971524619339,0.0025706940874035966,0.7116867708127348,0.0009061846341617051,0.8137894667457649,0.0012713269739625388,0.6626893397093675,0.0013690322317077108,0.5792630676949443,0.002222624124986781,0.714916617230242,0.0025503318333864326,0.8147781952409202,0.002542653947925118,0.18946984115382026,0.03305497744117357,0.12083477123168766,0.08401791553138892,0.0719999999999999,0.0030000000000000027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11233333333333333,0.015011106998930268,0.04223285486443377,0.005641000286350602,0.13566666666666669,0.00650640709864771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3620666666666667,0.03530797832407477,0.12113266551881748,0.009134174939269794,,
TeRDy,ICEWS14,ensemble_probability,0.18430983220075783,0.0005298299228989946,0.6616269879601872,0.001049706570909029,0.5791971524619339,0.0025706940874035966,0.7116867708127348,0.0009061846341617051,0.8137894667457649,0.0012713269739625388,0.6626893397093675,0.0013690322317077108,0.5792630676949443,0.002222624124986781,0.714916617230242,0.0025503318333864326,0.8147781952409202,0.002542653947925118,0.1604685502135585,0.0015611890045229278,0.018083887310993634,0.004175978170846926,0.0719999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11720000000000001,0.0,0.0409556313993174,0.0,0.1284999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.1216,0.0,,
TeRDy,ICEWS14,hybrid_margin,0.20049753847651416,0.012751970494274118,0.6616269879601872,0.001049706570909029,0.5791971524619339,0.0025706940874035966,0.7116867708127348,0.0009061846341617051,0.8137894667457649,0.0012713269739625388,0.6626893397093675,0.0013690322317077108,0.5792630676949443,0.002222624124986781,0.714916617230242,0.0025503318333864326,0.8147781952409202,0.002542653947925118,,,,,0.0936666666666666,0.025423086620891183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10473333333333334,0.015821925715074424,0.0532253609381291,0.00672396235897353,0.1521666666666666,0.02548201980482191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3389333333333333,0.053351038727782345,0.14157531625889103,0.022146024488561313,,
TeRDy,ICEWS14,hybrid_max,0.1977479292068379,0.012066576091971547,0.6616269879601872,0.001049706570909029,0.5791971524619339,0.0025706940874035966,0.7116867708127348,0.0009061846341617051,0.8137894667457649,0.0012713269739625388,0.6626893397093675,0.0013690322317077108,0.5792630676949443,0.002222624124986781,0.714916617230242,0.0025503318333864326,0.8147781952409202,0.002542653947925118,0.1876726179571955,0.024893184818999207,0.11694630747837913,0.059757159787567876,0.09533333333333327,0.027465129406819413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10533333333333333,0.017401532499562597,0.05329412218330937,0.008496437134642447,0.15149999999999997,0.023016298572967834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3308,0.06333371929706955,0.13498634200117157,0.014750629901061343,,
TeRDy,ICEWS14,max_probability,0.1898621412368023,0.0021985429574351506,0.6616269879601872,0.001049706570909029,0.5791971524619339,0.0025706940874035966,0.7116867708127348,0.0009061846341617051,0.8137894667457649,0.0012713269739625388,0.6626893397093675,0.0013690322317077108,0.5792630676949443,0.002222624124986781,0.714916617230242,0.0025503318333864326,0.8147781952409202,0.002542653947925118,0.18946339141776714,0.03308815348681027,0.12006016869239781,0.08498754796028024,0.0719999999999999,0.0030000000000000027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11233333333333333,0.015011106998930268,0.04223285486443377,0.005641000286350602,0.13566666666666669,0.00650640709864771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3620666666666667,0.03530797832407477,0.12113266551881748,0.009134174939269794,,
