selector,aurc,mrr,hits1,hits3,hits10,neural_mrr,neural_hits1,neural_hits3,neural_hits10,brier,ece,risk20,worst_flip1_20,random_flip2_20,shifted_flip_20,wide_flip_20,event_flip_20,deployed_coverage20,deployed_risk20,risk40,worst_flip1_40,random_flip2_40,shifted_flip_40,wide_flip_40,event_flip_40,deployed_coverage40,deployed_risk40,certified_coverage,seed,model,dataset
Ensemble calibration,0.1845377834930034,0.6608897916257145,0.5791971524619339,0.712477753608859,0.8123393316195373,0.6624977317337172,0.5797903895590271,0.7156416847933558,0.8129325687166304,0.1595170256026182,0.0215348170212666,0.0749999999999999,0.0,0.0,0.0,0.0,0.0,0.1222,0.0425531914893616,0.131,0.0,0.0,0.0,0.0,0.0,0.3776,0.121822033898305,,1,TeRDy,ICEWS14
ensemble_probability,0.1841919239030577,0.6608897916257145,0.5791971524619339,0.712477753608859,0.8123393316195373,0.6624977317337172,0.5797903895590271,0.7156416847933558,0.8129325687166304,0.1597622452199602,0.0157274271102732,0.0719999999999999,0.0,0.0,0.0,0.0,0.0,0.1172,0.0409556313993174,0.1284999999999999,0.0,0.0,0.0,0.0,0.0,0.375,0.1216,,1,TeRDy,ICEWS14
Temperature scaling,0.1872365871458976,0.6608897916257145,0.5791971524619339,0.712477753608859,0.8123393316195373,0.6624977317337172,0.5797903895590271,0.7156416847933558,0.8129325687166304,0.1642373616690264,0.0353470269985578,0.0699999999999999,0.0,0.0,0.0,0.0,0.0,0.1138,0.0404217926186292,0.132,0.0,0.0,0.0,0.0,0.0,0.376,0.1228723404255319,,1,TeRDy,ICEWS14
Certified 1-window,,0.6608897916257145,0.5791971524619339,0.712477753608859,0.8123393316195373,0.6624977317337172,0.5797903895590271,0.7156416847933558,0.8129325687166304,,,0.0719999999999999,0.0,0.0,0.0,0.0,0.0,0.125,0.048,0.129,0.0,0.0,0.0,0.0,0.0,0.3982,0.1285786037167252,0.9556,1,TeRDy,ICEWS14
Certified 2-window,,0.6608897916257145,0.5791971524619339,0.712477753608859,0.8123393316195373,0.6624977317337172,0.5797903895590271,0.7156416847933558,0.8129325687166304,,,0.0719999999999999,0.0,0.0,0.0,0.0,0.0,0.125,0.048,0.129,0.0,0.0,0.0,0.0,0.0,0.3982,0.1285786037167252,0.9444,1,TeRDy,ICEWS14
max_probability,0.1894813808560356,0.6611623454309019,0.5766264583745303,0.7106980423175796,0.8143167886098477,0.6614262051263937,0.5768242040735614,0.712082262210797,0.8137235515127546,0.1707045035598427,0.0698755801645546,0.0749999999999999,0.0,0.0,0.0,0.0,0.0,0.121,0.0446280991735537,0.136,0.0,0.0,0.0,0.0,0.0,0.3696,0.1255411255411255,,2,TeRDy,ICEWS14
candidate_probability,0.1894389632283822,0.6611623454309019,0.5766264583745303,0.7106980423175796,0.8143167886098477,0.6614262051263937,0.5768242040735614,0.712082262210797,0.8137235515127546,0.1708113711194769,0.0712208976504645,0.0749999999999999,0.0,0.0,0.0,0.0,0.0,0.121,0.0446280991735537,0.136,0.0,0.0,0.0,0.0,0.0,0.3696,0.1255411255411255,,2,TeRDy,ICEWS14
neural_margin,0.1922859103934985,0.6611623454309019,0.5766264583745303,0.7106980423175796,0.8143167886098477,0.6614262051263937,0.5768242040735614,0.712082262210797,0.8137235515127546,,,0.0709999999999999,0.0,0.0,0.0,0.0,0.0,0.1122,0.0374331550802139,0.1364999999999999,0.0,0.0,0.0,0.0,0.0,0.3618,0.1243781094527363,,2,TeRDy,ICEWS14
negative_entropy,0.2005143829997645,0.6611623454309019,0.5766264583745303,0.7106980423175796,0.8143167886098477,0.6614262051263937,0.5768242040735614,0.712082262210797,0.8137235515127546,,,0.0899999999999999,0.001,0.00025,0.001,0.001,0.001,0.1414,0.0693069306930692,0.151,0.0045,0.0016875,0.0045,0.004,0.0035,0.4588,0.1734960767218831,,2,TeRDy,ICEWS14
hybrid_max,0.1917532506812789,0.6611623454309019,0.5766264583745303,0.7106980423175796,0.8143167886098477,0.6614262051263937,0.5768242040735614,0.712082262210797,0.8137235515127546,0.1737180430392246,0.0811881532250588,0.0809999999999999,0.0,0.0,0.0,0.0,0.0,0.1056,0.043560606060606,0.14,0.0,0.0,0.0,0.0,0.0,0.3528,0.1247165532879818,,2,TeRDy,ICEWS14
hybrid_margin,0.1945676927163598,0.6611623454309019,0.5766264583745303,0.7106980423175796,0.8143167886098477,0.6614262051263937,0.5768242040735614,0.712082262210797,0.8137235515127546,,,0.0799999999999999,0.0,0.0,0.0,0.0,0.0,0.1084,0.0461254612546125,0.1394999999999999,0.0,0.0,0.0,0.0,0.0,0.3646,0.1289083927591882,,2,TeRDy,ICEWS14
Probability calibration,0.1917532506812789,0.6611623454309019,0.5766264583745303,0.7106980423175796,0.8143167886098477,0.6614262051263937,0.5768242040735614,0.712082262210797,0.8137235515127546,0.1659486738690185,0.0216400019110278,0.0809999999999999,0.0,0.0,0.0,0.0,0.0,0.1056,0.043560606060606,0.14,0.0,0.0,0.0,0.0,0.0,0.3528,0.1247165532879818,,2,TeRDy,ICEWS14
Score calibration,0.1899282169455605,0.6611623454309019,0.5766264583745303,0.7106980423175796,0.8143167886098477,0.6614262051263937,0.5768242040735614,0.712082262210797,0.8137235515127546,0.1658021492138572,0.0262186380341508,0.0769999999999999,0.0,0.0,0.0,0.0,0.0,0.1154,0.0398613518197573,0.1354999999999999,0.0,0.0,0.0,0.0,0.0,0.3626,0.1252068394925537,,2,TeRDy,ICEWS14
Evidence calibration,0.1892533391790508,0.6611623454309019,0.5766264583745303,0.7106980423175796,0.8143167886098477,0.6614262051263937,0.5768242040735614,0.712082262210797,0.8137235515127546,0.1647163635604389,0.0188457209202823,0.0689999999999999,0.0,0.0,0.0,0.0,0.0,0.1216,0.0476973684210526,0.134,0.0,0.0,0.0,0.0,0.0,0.3758,0.1261309207025013,,2,TeRDy,ICEWS14
