selector,aurc,mrr,hits1,hits3,hits10,neural_mrr,neural_hits1,neural_hits3,neural_hits10,brier,ece,risk20,worst_flip1_20,random_flip2_20,shifted_flip_20,wide_flip_20,event_flip_20,deployed_coverage20,deployed_risk20,risk40,worst_flip1_40,random_flip2_40,shifted_flip_40,wide_flip_40,event_flip_40,deployed_coverage40,deployed_risk40,certified_coverage,seed,model,dataset
Ensemble calibration,0.3864692647782481,0.5033751977002157,0.3861836896278701,0.5674980205859066,0.7379255740300871,0.454882275312292,0.3256136183689628,0.5249406175771971,0.7203087885985748,0.1800380255478928,0.0297720383896819,0.2109999999999999,0.078,0.0225,0.08,0.084,0.067,0.2322,0.2334194659776055,0.3359999999999999,0.184,0.078875,0.185,0.1925,0.1655,0.4192,0.3497137404580153,,0,TemporalComplEx,ICEWS05-15
ensemble_probability,0.4209797177704384,0.5033751977002157,0.3861836896278701,0.5674980205859066,0.7379255740300871,0.454882275312292,0.3256136183689628,0.5249406175771971,0.7203087885985748,0.2260602961831483,0.1592766780064873,0.306,0.118,0.016375,0.12,0.127,0.103,0.3556,0.3841394825646794,0.404,0.184,0.0295625,0.1825,0.1925,0.1465,0.5376,0.4557291666666666,,0,TemporalComplEx,ICEWS05-15
Temperature scaling,0.4590719619512042,0.5033751977002157,0.3861836896278701,0.5674980205859066,0.7379255740300871,0.454882275312292,0.3256136183689628,0.5249406175771971,0.7203087885985748,0.2628166515521142,0.2105035931766081,0.38,0.137,0.022,0.137,0.149,0.108,0.385,0.4535064935064935,0.4565,0.2115,0.0368125,0.21,0.223,0.172,0.567,0.4800705467372134,,0,TemporalComplEx,ICEWS05-15
Certified 1-window,,0.5033751977002157,0.3861836896278701,0.5674980205859066,0.7379255740300871,0.454882275312292,0.3256136183689628,0.5249406175771971,0.7203087885985748,,,0.2049999999999999,0.0,0.008375,0.004,0.003,0.003,0.3002,0.285143237841439,0.3555,0.0,0.0241875,0.0205,0.0245,0.0115,0.4236,0.3796033994334278,0.561,0,TemporalComplEx,ICEWS05-15
Certified 2-window,,0.5033751977002157,0.3861836896278701,0.5674980205859066,0.7379255740300871,0.454882275312292,0.3256136183689628,0.5249406175771971,0.7203087885985748,,,0.2129999999999999,0.0,0.0,0.0,0.0,0.003,0.264,0.2765151515151515,0.407,0.0,0.0,0.004,0.0,0.009,0.347,0.3567723342939481,0.4544,0,TemporalComplEx,ICEWS05-15
max_probability,0.5136888094238578,0.5043704288776116,0.3891528107680126,0.5619556611243072,0.7389152810768013,0.4551768750729437,0.3248218527315915,0.5197941409342834,0.723673792557403,0.2730337286510667,0.1887613388805024,0.4469999999999999,0.306,0.062375,0.299,0.316,0.262,0.4626,0.5361003026372676,0.5195000000000001,0.4015,0.087125,0.3965,0.417,0.3585,0.7266,0.584916047343793,,1,TemporalComplEx,ICEWS05-15
candidate_probability,0.4465378673876192,0.5043704288776116,0.3891528107680126,0.5619556611243072,0.7389152810768013,0.4551768750729437,0.3248218527315915,0.5197941409342834,0.723673792557403,0.2803016552428804,0.2465339508853142,0.379,0.157,0.02,0.156,0.162,0.132,0.413,0.4416464891041162,0.4399999999999999,0.253,0.0403125,0.2495,0.265,0.22,0.586,0.4668941979522184,,1,TemporalComplEx,ICEWS05-15
neural_margin,0.5083976912586399,0.5043704288776116,0.3891528107680126,0.5619556611243072,0.7389152810768013,0.4551768750729437,0.3248218527315915,0.5197941409342834,0.723673792557403,,,0.4419999999999999,0.3,0.064375,0.296,0.312,0.262,0.4162,0.5223450264296012,0.5165,0.401,0.0911875,0.3915,0.415,0.354,0.6574,0.5670824459993915,,1,TemporalComplEx,ICEWS05-15
negative_entropy,0.5352911570630615,0.5043704288776116,0.3891528107680126,0.5619556611243072,0.7389152810768013,0.4551768750729437,0.3248218527315915,0.5197941409342834,0.723673792557403,,,0.473,0.327,0.054875,0.326,0.339,0.282,0.5216,0.5786042944785277,0.5565,0.4425,0.087,0.435,0.458,0.388,0.7536,0.6042993630573248,,1,TemporalComplEx,ICEWS05-15
hybrid_max,0.4639940039425254,0.5043704288776116,0.3891528107680126,0.5619556611243072,0.7389152810768013,0.4551768750729437,0.3248218527315915,0.5197941409342834,0.723673792557403,0.2510773644649454,0.149437847074134,0.3399999999999999,0.273,0.187875,0.266,0.275,0.254,0.18,0.31,0.4805,0.438,0.264,0.434,0.4465,0.408,0.3204,0.4737827715355805,,1,TemporalComplEx,ICEWS05-15
hybrid_margin,0.4701414919659398,0.5043704288776116,0.3891528107680126,0.5619556611243072,0.7389152810768013,0.4551768750729437,0.3248218527315915,0.5197941409342834,0.723673792557403,,,0.411,0.368,0.27925,0.368,0.37,0.349,0.1496,0.3275401069518716,0.4855,0.4345,0.2629375,0.4285,0.442,0.402,0.3096,0.4767441860465116,,1,TemporalComplEx,ICEWS05-15
